locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(russia,turkmenistan) 0.243006 7
neighborOf(georgia,turkmenistan) 0.238609 8
neighborOf(turkey,turkmenistan) 0.219470 9
neighborOf(kyrgyzstan,turkmenistan) 0.208689 10
neighborOf(brazil,turks_and_caicos_islands) 0.182374 1
neighborOf(paraguay,turks_and_caicos_islands) 0.167854 2
neighborOf(uruguay,turks_and_caicos_islands) 0.164913 3
neighborOf(kazakhstan,turks_and_caicos_islands) 0.160180 4
neighborOf(armenia,turks_and_caicos_islands) 0.154029 5
neighborOf(peru,turks_and_caicos_islands) 0.149709 6
neighborOf(algeria,turks_and_caicos_islands) 0.144532 7
neighborOf(azerbaijan,turks_and_caicos_islands) 0.139740 8
neighborOf(france,turks_and_caicos_islands) 0.139619 9
neighborOf(bolivia,turks_and_caicos_islands) 0.138840 10
neighborOf(mexico,tuvalu) 0.134499 1
neighborOf(ethiopia,tuvalu) 0.130654 2
neighborOf(china,tuvalu) 0.129172 3
neighborOf(central_african_republic,tuvalu) 0.121465 4
neighborOf(honduras,tuvalu) 0.118900 5
neighborOf(india,tuvalu) 0.117491 6
neighborOf(el_salvador,tuvalu) 0.117020 7
neighborOf(mauritius,tuvalu) 0.114982 8
neighborOf(luxembourg,tuvalu) 0.112015 9
neighborOf(kenya,tuvalu) 0.110527 10
neighborOf(zambia,uganda) 0.389536 6
neighborOf(central_african_republic,uganda) 0.335690 7
neighborOf(angola,uganda) 0.330069 8
neighborOf(ethiopia,uganda) 0.322642 9
neighborOf(burundi,uganda) 0.321530 10
neighborOf(austria,ukraine) 0.380313 8
neighborOf(czechia,ukraine) 0.349827 9
neighborOf(china,ukraine) 0.310299 10
neighborOf(iraq,united_arab_emirates) 0.221857 3
neighborOf(turkey,united_arab_emirates) 0.198819 4
neighborOf(russia,united_arab_emirates) 0.197576 5
neighborOf(jordan,united_arab_emirates) 0.155200 6
neighborOf(syria,united_arab_emirates) 0.154046 7
neighborOf(china,united_arab_emirates) 0.152320 8
neighborOf(montenegro,united_arab_emirates) 0.151864 9
neighborOf(south_africa,united_arab_emirates) 0.150506 10
neighborOf(russia,united_kingdom) 0.273851 2
neighborOf(estonia,united_kingdom) 0.173984 3
neighborOf(latvia,united_kingdom) 0.167360 4
neighborOf(belarus,united_kingdom) 0.161316 5
neighborOf(sudan,united_kingdom) 0.153512 6
neighborOf(poland,united_kingdom) 0.148756 7
neighborOf(afghanistan,united_kingdom) 0.147195 8
neighborOf(mongolia,united_kingdom) 0.138361 9
neighborOf(finland,united_kingdom) 0.137470 10
neighborOf(south_sudan,united_states) 0.136983 3
neighborOf(dr_congo,united_states) 0.124832 4
neighborOf(tanzania,united_states) 0.124213 5
neighborOf(angola,united_states) 0.122473 6
neighborOf(zambia,united_states) 0.119823 7
neighborOf(central_african_republic,united_states) 0.107554 8
neighborOf(serbia,united_states) 0.105385 9
neighborOf(romania,united_states) 0.099629 10
neighborOf(russia,united_states_minor_outlying_islands) 0.166946 1
neighborOf(ivory_coast,united_states_minor_outlying_islands) 0.159031 2
neighborOf(china,united_states_minor_outlying_islands) 0.157881 3
neighborOf(nigeria,united_states_minor_outlying_islands) 0.155588 4
neighborOf(uganda,united_states_minor_outlying_islands) 0.153825 5
neighborOf(chad,united_states_minor_outlying_islands) 0.150539 6
neighborOf(mali,united_states_minor_outlying_islands) 0.149318 7
neighborOf(south_sudan,united_states_minor_outlying_islands) 0.148557 8
neighborOf(mauritania,united_states_minor_outlying_islands) 0.145908 9
neighborOf(niger,united_states_minor_outlying_islands) 0.145035 10
neighborOf(brazil,united_states_virgin_islands) 0.175874 1
neighborOf(argentina,united_states_virgin_islands) 0.154726 2
neighborOf(zambia,united_states_virgin_islands) 0.146055 3
neighborOf(russia,united_states_virgin_islands) 0.130918 4
neighborOf(mali,united_states_virgin_islands) 0.127288 5
neighborOf(ivory_coast,united_states_virgin_islands) 0.123257 6
neighborOf(guinea,united_states_virgin_islands) 0.122558 7
neighborOf(burkina_faso,united_states_virgin_islands) 0.120790 8
neighborOf(uzbekistan,united_states_virgin_islands) 0.120641 9
neighborOf(botswana,united_states_virgin_islands) 0.120390 10
neighborOf(peru,uruguay) 0.326641 3
neighborOf(bolivia,uruguay) 0.321819 4
neighborOf(paraguay,uruguay) 0.239459 5
neighborOf(chile,uruguay) 0.231082 6
neighborOf(russia,uruguay) 0.228792 7
neighborOf(venezuela,uruguay) 0.223357 8
neighborOf(azerbaijan,uruguay) 0.211563 9
neighborOf(spain,uruguay) 0.203140 10
neighborOf(russia,uzbekistan) 0.324617 6
neighborOf(china,uzbekistan) 0.303627 7
neighborOf(pakistan,uzbekistan) 0.292434 8
neighborOf(france,uzbekistan) 0.250408 9
neighborOf(colombia,uzbekistan) 0.241297 10
neighborOf(eritrea,vanuatu) 0.153597 1
neighborOf(ethiopia,vanuatu) 0.125258 2
neighborOf(china,vanuatu) 0.119249 3
neighborOf(poland,vanuatu) 0.118222 4
neighborOf(uganda,vanuatu) 0.111028 5
neighborOf(russia,vanuatu) 0.103675 6
neighborOf(south_sudan,vanuatu) 0.103256 7
neighborOf(somalia,vanuatu) 0.099111 8
neighborOf(iran,vanuatu) 0.098291 9
neighborOf(south_georgia,vanuatu) 0.098064 10
neighborOf(hungary,vatican_city) 0.203699 2
neighborOf(turkey,vatican_city) 0.202117 3
neighborOf(austria,vatican_city) 0.198818 4
neighborOf(germany,vatican_city) 0.195014 5
neighborOf(dr_congo,vatican_city) 0.193225 6
neighborOf(russia,vatican_city) 0.193014 7
neighborOf(belarus,vatican_city) 0.189667 8
neighborOf(ukraine,vatican_city) 0.182496 9
neighborOf(china,vatican_city) 0.181536 10
neighborOf(bolivia,venezuela) 0.322161 4
neighborOf(peru,venezuela) 0.289505 5
neighborOf(argentina,venezuela) 0.287555 6
neighborOf(french_guiana,venezuela) 0.272750 7
neighborOf(uruguay,venezuela) 0.213936 8
neighborOf(russia,venezuela) 0.202780 9
neighborOf(paraguay,venezuela) 0.194621 10
neighborOf(myanmar,vietnam) 0.371774 4
neighborOf(india,vietnam) 0.307080 5
neighborOf(thailand,vietnam) 0.279946 6
neighborOf(afghanistan,vietnam) 0.228301 7
neighborOf(pakistan,vietnam) 0.215313 8
neighborOf(russia,vietnam) 0.214924 9
neighborOf(malaysia,vietnam) 0.194151 10
neighborOf(chad,wallis_and_futuna) 0.173184 1
neighborOf(niger,wallis_and_futuna) 0.162578 2
neighborOf(liberia,wallis_and_futuna) 0.161476 3
neighborOf(south_africa,wallis_and_futuna) 0.154292 4
neighborOf(ethiopia,wallis_and_futuna) 0.146523 5
neighborOf(iran,wallis_and_futuna) 0.144915 6
neighborOf(central_african_republic,wallis_and_futuna) 0.144796 7
neighborOf(south_sudan,wallis_and_futuna) 0.140418 8
neighborOf(eritrea,wallis_and_futuna) 0.138144 9
neighborOf(mali,wallis_and_futuna) 0.132956 10
neighborOf(libya,western_sahara) 0.274590 4
neighborOf(niger,western_sahara) 0.243011 5
neighborOf(mali,western_sahara) 0.217236 6
neighborOf(brazil,western_sahara) 0.216231 7
neighborOf(egypt,western_sahara) 0.215523 8
neighborOf(tunisia,western_sahara) 0.204288 9
neighborOf(central_african_republic,western_sahara) 0.199721 10
neighborOf(iraq,yemen) 0.241055 3
neighborOf(syria,yemen) 0.233701 4
neighborOf(azerbaijan,yemen) 0.211146 5
neighborOf(turkey,yemen) 0.200807 6
neighborOf(israel,yemen) 0.188852 7
neighborOf(palestine,yemen) 0.167248 8
neighborOf(georgia,yemen) 0.165118 9
neighborOf(armenia,yemen) 0.156045 10
neighborOf(south_sudan,zambia) 0.465195 9
neighborOf(south_africa,zambia) 0.413207 10
neighborOf(namibia,zimbabwe) 0.292828 5
neighborOf(malawi,zimbabwe) 0.249840 6
neighborOf(tanzania,zimbabwe) 0.231738 7
neighborOf(angola,zimbabwe) 0.202120 8
neighborOf(south_sudan,zimbabwe) 0.201843 9
neighborOf(kenya,zimbabwe) 0.200886 10
